127.0.0.1 - - [14/Sep/2018:20:32:33 +0200] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:30 +0200] "GET /ProjekatWP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:30 +0200] "GET /ProjekatWP/ HTTP/1.1" 200 27179
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:31 +0200] "GET /ProjekatWP/js/printNavBar.js HTTP/1.1" 200 5076
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:31 +0200] "GET /ProjekatWP/css/style.css HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:31 +0200] "GET /ProjekatWP/css/authentication.css HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:32 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:32 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:33 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:33 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:33 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:33 +0200] "GET /ProjekatWP/emergencyImages/Bagljas.jpg HTTP/1.1" 200 14982
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:53 +0200] "GET /ProjekatWP/emergency.html?emergencyID=1 HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:53 +0200] "GET /ProjekatWP/css/emergencyStyle.css HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:53 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:53 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:53 +0200] "GET /ProjekatWP/rest/emergency/1 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:33:53 +0200] "GET /ProjekatWP/rest/comments/getByEmergency/1 HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:02 +0200] "GET /ProjekatWP/authentication.html HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:02 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:17 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:25 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:28 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:32 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:34:40 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:00 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:03 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:04 +0200] "GET /ProjekatWP/index.html HTTP/1.1" 200 27179
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:04 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:04 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:04 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:04 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:07 +0200] "GET /ProjekatWP/emergency.html?emergencyID=3 HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:08 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:08 +0200] "GET /ProjekatWP/rest/emergency/3 HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:08 +0200] "GET /ProjekatWP/rest/comments/getByEmergency/3 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:08 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:15 +0200] "POST /ProjekatWP/rest/comments/postComment/3 HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [14/Sep/2018:20:35:15 +0200] "GET /ProjekatWP/emergency.html? HTTP/1.1" 200 8185
