127.0.0.1 - - [30/Jan/2019:17:58:40 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:10 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:10 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:10 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:10 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/profileImages/neki%20novi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:11 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:15 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:15 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:15 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:15 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
